0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:04 +0700] "GET /image/temp-3984373128647845854.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:04 +0700] "GET /image/temp-13862094760385571107.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:04 +0700] "GET /image/temp-6352099207348952932.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:04 +0700] "GET /image/temp-3984373128647845854.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:04 +0700] "GET /image/temp-13862094760385571107.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:06 +0700] "GET /js/bootstrap.bundle.js.map HTTP/1.1" 404 703
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:24:06 +0700] "GET /css/bootstrap.css.map HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /category?id=2 HTTP/1.1" 200 22734
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /image/temp-3984373128647845854.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /css/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:31 +0700] "GET /image/temp-12235989262213754276.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:32 +0700] "GET /image/temp-13862094760385571107.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:32 +0700] "GET /image/temp-7329036107498680084.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:32 +0700] "GET /image/temp-6352099207348952932.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:32 +0700] "GET /image/temp-13862094760385571107.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:32 +0700] "GET /img/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:33 +0700] "GET / HTTP/1.1" 200 28331
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:33 +0700] "GET /image/temp-13064240004351430671.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:33 +0700] "GET /image/temp-12235989262213754276.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/Nov/2024:16:25:34 +0700] "GET /image/temp-8476700387786158058.jpg HTTP/1.1" 404 604
